Designator,Mid X,Mid Y,Rotation,Layer
C1,65.45,-61.1875,180.0,top
C10,78.25,-47.9875,270.0,top
C11,53.8,-61.2,180.0,top
C12,53.6,-64.8,90.0,top
C13,40.675,-45.0,180.0,top
C2,64.85,-64.3875,90.0,top
C3,76.8,-60.6,180.0,top
C4,75.0,-64.4,90.0,top
C5,54.2,-50.8,0.0,top
C6,55.0,-47.4,270.0,top
C7,65.485,-51.1475,0.0,top
C8,66.26,-47.3475,270.0,top
C9,77.45,-51.3875,0.0,top
Cbst1,38.375,-68.725,180.0,top
Cff1,31.6,-58.025,180.0,top
Cihf_ch1,36.28,-63.32,0.0,top
Cihf_ch2,36.35,-65.25,0.0,top
Cin1,35.925,-55.475,0.0,top
Cout1,46.75,-67.95,180.0,top
Coutx1,40.525,-65.35,180.0,top
Creg1,32.175,-65.875,180.0,top
Css1,31.55,-59.6,180.0,top
D1,70.05,-71.8,0.0,top
D10,81.0,-40.2,180.0,top
D11,58.6125,-69.6,0.0,top
D12,58.6125,-71.6,0.0,top
D13,43.9,-45.0,0.0,top
D2,70.05,-70.0,0.0,top
D3,81.0,-69.8,0.0,top
D4,81.0,-71.8,0.0,top
D5,58.6,-42.0,180.0,top
D6,58.6,-40.2,180.0,top
D7,70.2125,-42.0,180.0,top
D8,70.2125,-40.2,180.0,top
D9,81.0,-42.2,180.0,top
J1,65.85,-69.7,180.0,top
J2,76.8,-69.7,180.0,top
J3,54.4,-42.2,0.0,top
J4,65.85,-42.2,0.0,top
J5,76.8,-42.2,0.0,top
J6,54.4,-69.7,180.0,top
J7,33.4,-47.5,270.0,top
L1,45.3,-58.525,0.0,top
R1,68.25,-60.5875,90.0,top
R10,81.8,-63.1,270.0,top
R100,40.725,-43.0,180.0,top
R101,45.4,-52.0,180.0,top
R102,46.4,-46.0,90.0,top
R13,48.1,-51.1,90.0,top
R14,49.69,-51.1,270.0,top
R15,56.75,-47.4,270.0,top
R16,58.45,-47.4,270.0,top
R19,60.66,-52.1475,90.0,top
R2,69.85,-60.5875,270.0,top
R20,62.66,-52.1475,270.0,top
R21,68.25,-47.35,270.0,top
R22,69.95,-47.35,270.0,top
R25,72.65,-52.3875,90.0,top
R26,74.45,-52.3875,270.0,top
R27,80.35,-46.65,270.0,top
R28,82.1,-46.6,270.0,top
R3,70.85,-66.9875,90.0,top
R31,58.4,-60.4,270.0,top
R32,56.6,-60.4,90.0,top
R33,59.6,-66.8,90.0,top
R34,59.6,-63.6,270.0,top
R4,70.85,-63.7875,270.0,top
R44,43.9,-43.0,180.0,top
R7,81.4,-59.825,270.0,top
R8,79.4,-59.825,90.0,top
R9,81.8,-66.2,90.0,top
Rfbb1,31.675,-54.575,0.0,top
Rfbt1,31.7,-56.375,0.0,top
Rmh1,32.6,-63.9,180.0,top
Rml1,32.925,-67.725,0.0,top
Rpg1,31.575,-61.35,180.0,top
U1,67.85,-64.1875,270.0,top
U2,78.35,-64.05,270.0,top
U3,51.8,-47.8,90.0,top
U4,62.8,-48.0,90.0,top
U5,75.65,-48.1875,90.0,top
U6,56.8,-64.2,270.0,top
U7,42.375,-48.5,270.0,top
U8,35.63,-59.91,90.0,top
